<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
4294967295.2025.11	28:01:00	0.00	91290.10	91490.85	91282.35	4681022936225887027	320	0
4294967295.2025.11	28:01:15	0.00	91480.95	91539.25	91321.05	4681014250084027597	232	0
4294967295.2025.11	28:01:30	0.00	91336.75	91366.35	91180.85	4681014648656992666	215	0
4294967295.2025.11	28:01:45	0.00	91360.35	91366.75	91244.45	4681010930933301248	136	0
4294967295.2025.11	28:02:00	0.00	91299.65	91329.95	91095.25	4680998678250599219	262	0
4294967295.2025.11	28:02:15	0.00	91133.65	91266.15	91039.95	4681003797851616051	242	0
4294967295.2025.11	28:02:30	0.00	91202.45	91394.65	91177.15	4681003303071383552	245	0
4294967295.2025.11	28:02:45	0.00	91195.25	91237.45	91115.25	4681002334126761574	168	0
4294967295.2025.11	28:03:00	0.00	91181.15	91181.15	90841.75	4680980481333159526	378	0
4294967295.2025.11	28:03:15	0.00	90860.45	90989.65	90779.05	4680984034130106778	428	0
4294967295.2025.11	28:03:30	0.00	90914.85	91046.55	90780.65	4680990823614408294	400	0
4294967295.2025.11	28:03:45	0.00	91009.15	91035.25	90769.05	4680974014830398669	339	0
4294967295.2025.11	28:04:00	0.00	90776.05	90876.25	90708.05	4680981202887665254	512	0
4294967295.2025.11	28:04:15	0.00	90872.65	90959.65	90649.25	4680966428200167014	461	0
4294967295.2025.11	28:04:30	0.00	90663.20	90827.95	90623.75	4680976035183014707	352	0
4294967295.2025.11	28:04:45	0.00	90798.45	91115.15	90786.75	4680992960790134784	309	0
4294967295.2025.11	28:05:00	0.00	91040.25	91129.45	90965.95	4680993929734756762	265	0
4294967295.2025.11	28:05:15	0.00	91056.25	91209.65	91005.45	4681002203559755776	260	0
4294967295.2025.11	28:05:30	0.00	91179.25	91270.95	91080.55	4680997262629378458	226	0
4294967295.2025.11	28:05:45	0.00	91113.65	91205.75	91085.05	4681001399541877965	165	0
4294967295.2025.11	28:06:00	0.00	91167.55	91354.15	91083.85	4681012064804667392	242	0
4294967295.2025.11	28:06:15	0.00	91322.75	91397.55	91267.85	4681015651961353011	229	0
4294967295.2025.11	28:06:30	0.00	91374.95	91454.75	91330.25	4681018716850015437	273	0
4294967295.2025.11	28:06:45	0.00	91419.55	91454.75	91386.35	4681017019478940058	180	0
4294967295.2025.11	28:07:00	0.00	91394.85	91545.95	91275.25	4681022530780974285	329	0
4294967295.2025.11	28:07:15	0.00	91479.55	91529.75	91399.75	4681023905170509005	267	0
4294967295.2025.11	28:07:30	0.00	91495.05	91578.55	91435.35	4681026798260479590	241	0
4294967295.2025.11	28:07:45	0.00	91542.25	91694.95	91524.45	4681030337313531494	292	0
4294967295.2025.11	28:08:00	0.00	91585.75	91585.75	91353.65	4681014971638533325	251	0
4294967295.2025.11	28:08:15	0.00	91360.15	91414.75	91276.35	4681009144226906112	141	0
4294967295.2025.11	28:08:30	0.00	91276.35	91422.15	91131.65	4681015981814841344	251	0
4294967295.2025.11	28:08:45	0.00	91379.75	91405.65	91267.65	4681008278361499238	174	0
4294967295.2025.11	28:09:00	0.00	91267.65	91400.05	91267.65	4681015452674870477	109	0
4294967295.2025.11	28:09:15	0.00	91372.05	91533.05	91352.25	4681020812794055885	214	0
4294967295.2025.11	28:09:30	0.00	91450.05	91450.05	91034.05	4680992225491733709	377	0
4294967295.2025.11	28:09:45	0.00	91037.15	91072.45	90832.15	4680981759515426816	417	0
4294967295.2025.11	28:10:00	0.00	90880.35	91214.15	90875.15	4680996149373855334	394	0
4294967295.2025.11	28:10:15	0.00	91085.95	91211.35	91066.05	4680998032287517901	374	0
4294967295.2025.11	28:10:30	0.00	91123.85	91256.55	90978.45	4680996499843186688	323	0
4294967295.2025.11	28:10:45	0.00	91095.85	91680.85	91067.35	4681035209524432077	907	0
4294967295.2025.11	28:11:00	0.00	91652.75	91822.45	91487.55	4681033092964548608	791	0
4294967295.2025.11	28:11:15	0.00	91625.45	91661.45	91471.05	4681030543471961702	527	0
4294967295.2025.11	28:11:30	0.00	91592.85	91605.75	91402.75	4681020936489114010	361	0
4294967295.2025.11	28:11:45	0.00	91451.85	91569.25	91451.85	4681028976667892122	191	0
4294967295.2025.11	28:12:00	0.00	91565.00	91579.85	91450.45	4681024083841148518	248	0
4294967295.2025.11	28:12:15	0.00	91497.65	91604.95	91455.05	4681026798260479590	226	0
4294967295.2025.11	28:12:30	0.00	91537.15	91647.25	91501.05	4681031086355827917	222	0
4294967295.2025.11	28:12:45	0.00	91595.95	91843.75	91558.95	4681046300847977267	265	0
4294967295.2025.11	28:13:00	0.00	91820.95	91999.35	91342.05	4681013391090568397	597	0
4294967295.2025.11	28:13:15	0.00	91341.05	91347.45	91018.35	4681007275057138893	1032	0
4294967295.2025.11	28:13:30	0.00	91248.75	91336.55	91175.05	4681008168410336461	382	0
4294967295.2025.11	28:13:45	0.00	91266.05	91450.25	91266.05	4681017521131120230	263	0
4294967295.2025.11	28:14:00	0.00	91398.75	91581.85	91378.15	4681023815835189248	341	0
4294967295.2025.11	28:14:15	0.00	91488.65	91583.55	91382.05	4681026592102049382	298	0
4294967295.2025.11	28:14:30	0.00	91533.75	91665.35	91435.65	4681021252598706995	291	0
4294967295.2025.11	28:14:45	0.00	91456.45	91499.25	91376.35	4681023451621962547	226	0
4294967295.2025.11	28:15:00	0.00	91488.45	91606.95	91347.65	4681021809226468557	388	0
4294967295.2025.11	28:15:15	0.00	91458.85	91574.45	91403.65	4681026076705973862	251	0
4294967295.2025.11	28:15:30	0.00	91529.05	91916.95	91457.65	4681046122177337754	668	0
4294967295.2025.11	28:15:45	0.00	91819.55	92597.65	91819.55	4681082426676897382	1311	0
4294967295.2025.11	28:16:00	0.00	92344.25	92500.85	92159.35	4681080832385037107	965	0
4294967295.2025.11	28:16:15	0.00	92324.95	92962.05	92293.95	4681122716906107699	979	0
4294967295.2025.11	28:16:30	0.00	92953.95	93070.85	91951.85	4681056808055970202	1828	0
4294967295.2025.11	28:16:45	0.00	91972.15	92286.65	91794.35	4681074365882276250	1274	0
4294967295.2025.11	28:17:00	0.00	92227.15	92391.55	91947.75	4681076427466578330	834	0
4294967295.2025.11	28:17:15	0.00	92260.20	92700.05	92245.85	4681102781385906586	822	0
4294967295.2025.11	28:17:30	0.00	92646.55	92774.95	92474.95	4681093366817593754	846	0
4294967295.2025.11	28:17:45	0.00	92509.45	92523.85	92264.05	4681081657018757939	740	0
4294967295.2025.11	28:18:00	0.00	92335.45	92353.95	91825.45	4681048692285767680	766	0
4294967295.2025.11	28:18:15	0.00	91865.25	92003.45	91080.25	4681000980353069875	1308	0
4294967295.2025.11	28:18:30	0.00	91156.85	91557.05	90940.35	4681027705357572506	1101	0
4294967295.2025.11	28:18:45	0.00	91546.25	91596.45	90849.25	4680983182008595251	737	0
4294967295.2025.11	28:19:00	0.00	90912.75	91176.65	90798.55	4680982591021095322	936	0
4294967295.2025.11	28:19:15	0.00	90891.35	90891.35	90435.65	4680953440219063910	1248	0
4294967295.2025.11	28:19:30	0.00	90458.35	90580.65	90175.05	4680937352989560013	1281	0
4294967295.2025.11	28:19:45	0.00	90234.25	90793.65	90234.05	4680964359743917261	1075	0
4294967295.2025.11	28:20:00	0.00	90629.65	90885.15	90391.45	4680980859290281574	1185	0
4294967295.2025.11	28:20:15	0.00	90868.65	90873.65	90568.85	4680974028574294016	508	0
4294967295.2025.11	28:20:30	0.00	90766.95	90856.75	90645.15	4680975719073421722	467	0
4294967295.2025.11	28:20:45	0.00	90793.55	90940.95	90664.25	4680976289445078630	416	0
4294967295.2025.11	28:21:00	0.00	90811.65	90965.05	90794.95	4680986535519059968	358	0
4294967295.2025.11	28:21:15	0.00	90960.05	91147.95	90869.05	4680994314563826483	405	0
4294967295.2025.11	28:21:30	0.00	91071.35	91180.95	90971.55	4680996994623419187	362	0
4294967295.2025.11	28:21:45	0.00	91101.35	91168.55	91030.15	4680998726354232934	245	0
4294967295.2025.11	28:22:00	0.00	91125.55	91125.55	90842.45	4680989834053943296	345	0
4294967295.2025.11	28:22:15	0.00	90999.25	91174.95	90920.85	4680999131799145677	278	0
4294967295.2025.11	28:22:30	0.00	91134.55	91201.15	91041.05	4680996307428651827	210	0
4294967295.2025.11	28:22:45	0.00	91093.45	91171.35	91018.65	4681001358310191923	222	0
4294967295.2025.11	28:23:00	0.00	91178.65	91219.45	91104.05	4680998314037372518	226	0
4294967295.2025.11	28:23:15	0.00	91122.65	91142.95	90990.05	4680997461915860992	226	0
4294967295.2025.11	28:23:30	0.00	91110.25	91215.25	91073.65	4681004223912371814	188	0
4294967295.2025.11	28:23:45	0.00	91214.95	91215.25	90845.35	4680979258126473626	261	0
4294967295.2025.11	29:00:00	0.00	90848.35	90996.45	90718.65	4680975100598131098	374	0
4294967295.2025.11	29:00:15	0.00	90782.95	90935.35	90663.25	4680978942016880640	408	0
4294967295.2025.11	29:00:30	0.00	90842.65	91002.75	90838.05	4680988562743623680	350	0
4294967295.2025.11	29:00:45	0.00	90980.75	91124.95	90971.75	4680995510282721690	273	0
4294967295.2025.11	29:01:00	0.00	91084.95	91166.55	90979.45	4680994836831849677	302	0
4294967295.2025.11	29:01:15	0.00	91072.05	91093.95	90944.35	4680986061354670490	168	0
4294967295.2025.11	29:01:30	0.00	90942.85	91006.25	90883.85	4680987312049147085	172	0
4294967295.2025.11	29:01:45	0.00	90961.35	90961.75	90849.05	4680980268302781645	160	0
4294967295.2025.11	29:02:00	0.00	90857.15	90941.05	90825.05	4680978406004962099	186	0
4294967295.2025.11	29:02:15	0.00	90837.75	90926.45	90733.75	4680980852418333901	221	0
4294967295.2025.11	29:02:30	0.00	90874.65	90946.85	90780.65	4680984123465426534	247	0
4294967295.2025.11	29:02:45	0.00	90911.50	90915.25	90807.25	4680979869729816576	183	0
4294967295.2025.11	29:03:00	0.00	90853.35	91014.25	90822.45	4680990864846094336	224	0
4294967295.2025.11	29:03:15	0.00	91009.75	91095.15	90911.45	4680985896427926323	226	0
4294967295.2025.11	29:03:30	0.00	90941.95	90942.55	90771.05	4680978515956124877	179	0
4294967295.2025.11	29:03:45	0.00	90834.55	90892.45	90771.35	4680979732290863104	142	0
4294967295.2025.11	29:04:00	0.00	90852.25	90874.75	90765.15	4680978206718479565	130	0
4294967295.2025.11	29:04:15	0.00	90832.95	90906.05	90818.65	4680977423316444774	170	0
4294967295.2025.11	29:04:30	0.00	90817.15	90822.15	90517.75	4680965651670079898	279	0
4294967295.2025.11	29:04:45	0.00	90647.35	90783.65	90570.65	4680974330939991654	171	0
4294967295.2025.11	29:05:00	0.00	90773.65	90844.75	90758.15	4680976055798857728	120	0
4294967295.2025.11	29:05:15	0.00	90798.75	90829.65	90696.05	4680968998308596941	133	0
4294967295.2025.11	29:05:30	0.00	90689.95	90753.05	90651.45	4680966916108451840	150	0
4294967295.2025.11	29:05:45	0.00	90665.75	90678.65	90640.55	4680966551895225139	96	0
4294967295.2025.11	29:06:00	0.00	90660.45	90678.55	90594.35	4680962009537812890	105	0
4294967295.2025.11	29:06:15	0.00	90594.35	90674.35	90525.05	4680966661846387917	165	0
4294967295.2025.11	29:06:30	0.00	90672.25	90777.95	90638.15	4680973245172259226	108	0
4294967295.2025.11	29:06:45	0.00	90765.25	90882.95	90765.25	4680981154784031539	87	0
4294967295.2025.11	29:07:00	0.00	90868.65	90882.75	90753.15	4680973465074584781	116	0
4294967295.2025.11	29:07:15	0.00	90760.15	90905.85	90751.45	4680981292222985011	122	0
4294967295.2025.11	29:07:30	0.00	90874.95	90900.55	90818.05	4680978151742898176	85	0
4294967295.2025.11	29:07:45	0.00	90829.25	90847.45	90699.05	4680971437850021069	87	0
4294967295.2025.11	29:08:00	0.00	90735.25	90804.55	90699.05	4680975993951328666	94	0
4294967295.2025.11	29:08:15	0.00	90797.85	90797.85	90340.45	4680958058167900570	463	0
4294967295.2025.11	29:08:30	0.00	90531.95	90566.35	90292.85	4680957659594935501	427	0
4294967295.2025.11	29:08:45	0.00	90531.05	90575.65	90460.05	4680958168119063347	233	0
4294967295.2025.11	29:09:00	0.00	90530.45	90641.75	90461.55	4680957199174441370	217	0
4294967295.2025.11	29:09:15	0.00	90524.35	90591.55	90435.55	4680953254676476723	165	0
4294967295.2025.11	29:09:30	0.00	90470.25	90494.95	90347.25	4680949578184471347	175	0
4294967295.2025.11	29:09:45	0.00	90416.05	90551.45	90392.95	4680958140631272653	186	0
4294967295.2025.11	29:10:00	0.00	90537.05	90537.05	90448.15	4680954326700313805	71	0
